"product_name","unit_price","total_price","size_amount","unit_name","store_id","image_url","merchant_productid","brand_name"
"Terra French Loaf 450 g",NULL,"$6.99",450.0,"g",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/d0974bac-0701-4c6f-8d2c-a5b0e7f492be/300x300.jpg","057cb215-3e3c-4dad-a1bb-c5553f6d34b8","Terra"
"Italian Bread 450 g",NULL,"$2.49",450.0,"g",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/a638c973-5869-476c-938b-2c7fae5637cb/300x300.jpg","948545b5-58d7-494b-a896-7aa0c7c9eaa3","None"
"Bread Dutch Crunch FD 450 g",NULL,"$4.49",450.0,"g",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/f1f17136-a3c5-411a-85cc-81b0e86d6c1a/300x300.jpg","edfa43f8-5aae-4406-9fe2-78e6506b0692","None"
"White Baguette Artisan Style 375 g",NULL,"$2.99",375.0,"g",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/683fa20c-011c-444d-a519-f5cf223a16c7/300x300.jpg","d5a5d43c-ef9f-4ed8-bc56-e5150c14b7c6","None"
"French Style Baguette 300 g",NULL,"$2.29",300.0,"g",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/0e79cc19-3d3f-461c-850f-adae360d36ce/300x300.jpg","71763fe3-4925-47ed-8d4c-27b1faf99bc6","None"
"Stuyvers Loaf Belgian Loaf 400 g",NULL,"$4.69",400.0,"g",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/954562fc-ba75-4e7c-b16b-454a7a5a326e/300x300.jpg","137c1094-a94a-4aba-80e9-1bfd8b2a0031","Stuyvers Loaf Belgian 20X400G"
"White Sesame Seed Topped FD Bread 450 g",NULL,"$4.49",450.0,"g",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/a4f35da1-cf72-4827-a3ec-b191f81e2740/300x300.jpg","f76bffae-4d16-4b96-8388-600a206c03ad","None"
"Compliments Texas Toast Garlic 638 g (frozen)",NULL,"$4.69",638.0,"g",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/bec68178-a3a8-4c3a-8dd8-f92150671d45/300x300.jpg","d3a4df06-9cff-479a-9cf2-d4cd13329672","Compliments"
"Furlanis Garlic Toast Parmesan 638 g (frozen)",NULL,"$6.29",638.0,"g",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/e1a0c237-3f27-4d38-8a1b-c3b807fdedd4/300x300.jpg","07069c8f-76a2-4445-9011-e8f7a43e5236","Furlani"
"Sourdough Bread 450 g",NULL,"$4.49",450.0,"g",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/a7513ec7-cc87-4f01-becf-f8a26c350dd3/300x300.jpg","4ed8c3b1-6cdf-4f02-8734-3280fa645be8","None"
"Calabrese Bread 450 g",NULL,"$2.99",450.0,"g",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/dfebe369-de07-49cc-b2e3-f122a3fe8814/300x300.jpg","2b78d7f0-92c6-4ad8-9820-81a2c589aee4","None"
"Care Bakery White Gluten-Free Loaf 600 g (frozen)",NULL,"$8.79",600.0,"g",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/0792ee52-e91f-4b6a-b21e-ed673a9feb62/300x300.jpg","c04e23a7-5793-41e7-bb5a-2df5331e00ca","Care Bakery"
"Italian Bread 400 g",NULL,"$2.49",400.0,"g",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/6a4367eb-b1fc-4eed-9cae-76d560119b51/300x300.jpg","b1ed1226-17b2-49cf-9256-eeeadb6cc3cc","None"
"Portofino Peasant Batard 585 g",NULL,"$6.29",585.0,"g",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/d6cff2ce-df42-47ea-808f-7d14aafbd3f3/300x300.jpg","6868c4a4-31c8-4c33-98de-21f9d8bbd49c","Portofino"
